species_name,Fruittype,Growthform,Tropic,Temperate,Subtropic,Genus,Family,Order
Alocasia_odora,fleshy,herb,Tropic,Absence,Absence,Alocasia,Araceae,Alismatales
Pinellia_ternata,fleshy,herb,Absence,Temperate,Subtropic,Pinellia,Araceae,Alismatales
Arisaema_wilsonii,fleshy,herb,Absence,Temperate,Absence,Arisaema,Araceae,Alismatales
Arisaema_utile,fleshy,herb,Absence,Temperate,Absence,Arisaema,Araceae,Alismatales
Arisaema_saxatile,fleshy,herb,Absence,Temperate,Absence,Arisaema,Araceae,Alismatales
Arisaema_decipiens,fleshy,herb,Absence,Temperate,Absence,Arisaema,Araceae,Alismatales
Arisaema_pianmaense,fleshy,herb,Absence,Temperate,Absence,Arisaema,Araceae,Alismatales
Arisaema_nepenthoides,fleshy,herb,Absence,Temperate,Absence,Arisaema,Araceae,Alismatales
Arisaema_lichiangense,fleshy,herb,Absence,Temperate,Absence,Arisaema,Araceae,Alismatales
Arisaema_intermedium,fleshy,herb,Absence,Temperate,Absence,Arisaema,Araceae,Alismatales
Arisaema_handelii,fleshy,herb,Absence,Temperate,Absence,Arisaema,Araceae,Alismatales
Arisaema_galeatum,fleshy,herb,Absence,Temperate,Absence,Arisaema,Araceae,Alismatales
Arisaema_flavum,fleshy,herb,Absence,Temperate,Absence,Arisaema,Araceae,Alismatales
Arisaema_elephas,fleshy,herb,Absence,Temperate,Absence,Arisaema,Araceae,Alismatales
Arisaema_echinatum,fleshy,herb,Absence,Temperate,Absence,Arisaema,Araceae,Alismatales
Arisaema_ciliatum,fleshy,herb,Absence,Temperate,Absence,Arisaema,Araceae,Alismatales
Arisaema_candidissimum,fleshy,herb,Absence,Temperate,Absence,Arisaema,Araceae,Alismatales
Arisaema_auriculatum,fleshy,herb,Absence,Temperate,Absence,Arisaema,Araceae,Alismatales
Arisaema_aridum,fleshy,herb,Absence,Temperate,Absence,Arisaema,Araceae,Alismatales
Arisaema_wardii,fleshy,herb,Absence,Temperate,Subtropic,Arisaema,Araceae,Alismatales
Arisaema_tengtsungense,fleshy,herb,Absence,Temperate,Subtropic,Arisaema,Araceae,Alismatales
