NewID,OldID,Group,Family,Genus,Species,Life form,Leaf form,Site,Ynew,Xnew,Hmax,Hact,Ks,Kl,P50,Ppd,Pmd,TLP,AlAs,WD,Vdia,VD,VLmax,ALT,MAT,MAP,PET,AI,Soiltype,Ecotype,Biome,Note_Biome,
s0252,346,Ang,Rosaceae,Sorbus,Sorbus aucuparia,S,D,s287,45.717,3.05,15,15,,,-4.189,,,,,,,,,646,8.8,742,827,0.9201,Cambisol,Western European broadleaf forests,TMR,,
s0253,347,Ang,Rosaceae,Sorbus,Sorbus torminalis,T,D,s287,45.717,3.05,25,10,,,-6.206,,,,,0.5935676,,,,646,8.8,742,827,0.9201,Cambisol,Western European broadleaf forests,TMR,,
s0254,348,Ang,Winteraceae,Tasmannia,Tasmannia lanceolata,T,E,s006,-42.905,147.3247,10,,,,-3.494,,,-1.79,,0.571958,,,,133,12,671,913,0.7458,Planosol,Tasmanian Central Highland forests,TMR,,
s0255,349,Ang,Malvaceae,Tilia,Tilia platyphyllos,T,D,s287,45.717,3.05,40,10,,,-3.088,,,,,0.2784602,49.22067,,,646,8.8,742,827,0.9201,Cambisol,Western European broadleaf forests,TMR,,
s0256,350,Ang,Fabaceae,Ulex,Ulex europaeus,S,E,s303,47.0773,-0.7451,3,2,,,-6.581,,,,,0.6671082,,,,158,11,747,832,0.8978,Luvisol,Atlantic mixed forests,TMS,,
s0257,351,Ang,Adoxaceae,Viburnum,Viburnum lantana,S,D,s289,45.776,3.1441,5,2,,,-7.625,,,,,0.6090469,,,,344,10.9,618,930,0.6645,Cambisol,Western European broadleaf forests,TMR,,
s0258,352,Ang,Oleaceae,Olea,Olea europaea,T,E,s145,33.8918,10.1014,15,1,,,-7.1,,,,,,,,,4,19.4,177,1287,0.1375,,North Saharan steppe and woodlands,WDS,,
s0259,354,Ang,Salicaceae,Populus,Populus euphratica,T,D,s324,48.7515,6.338,15,1,,,-0.7,,,,,,,,,223,9.4,766,796,0.9623,Cambisol,Western European broadleaf forests,TMR,,
s0260,355,Ang,Burseraceae,Bursera,Bursera simaruba,T,D,s096,9.1667,-79.846,30,30,,5.9,-0.9,,-1.6,-0.69,3.55,,,,,44,26.4,2622,1398,1.8755,Acrisol,Isthmian-Atlantic moist forests,TRR,,
s0261,356,Ang,Meliaceae,Carapa,Carapa guianensis,T,D,s096,9.1667,-79.846,60,25,,0.346,-0.8,,-1.3,,3.29,,,,,44,26.4,2622,1398,1.8755,Acrisol,Isthmian-Atlantic moist forests,TRR,,
s0262,358,Ang,Moraceae,Ficus,Ficus citrifolia,T,E,s096,9.1667,-79.846,15,15,,1.62,-1.6,,,,,,43.8,,,44,26.4,2622,1398,1.8755,Acrisol,Isthmian-Atlantic moist forests,TRR,,
s0263,359,Ang,Violaceae,Hybanthus,Hybanthus prunifolius,S,E,s096,9.1667,-79.846,4,4,,1.02,-2.6,,-3.4,,0.105,,,,60,44,26.4,2622,1398,1.8755,Acrisol,Isthmian-Atlantic moist forests,TRR,,
